filename	size	container	runtime_s	vcodec	width	height	vbitrate	acodec	channels	abitrate
LOONEYTUNES_GOLD_VOLUME6_DISC4.m4v	2161851925	mov,mp4,m4a,3gp,3g2,mj2	6343.851344	h264	720	480	2556058	aac	1	164664
LOVEFINDSAHOME.m4v	941933025	mov,mp4,m4a,3gp,3g2,mj2	5287.482189	h264	720	480	1254523	aac	2	164560
MADAGASCAR.m4v	835843106	mov,mp4,m4a,3gp,3g2,mj2	5156.598656	h264	712	464	1125972	aac	2	164696
MAID_MANHATTAN.m4v	659371698	mov,mp4,m4a,3gp,3g2,mj2	6318.003344	h264	720	360	666529	aac	2	161880
MAMMA_MIA.m4v	947055249	mov,mp4,m4a,3gp,3g2,mj2	6526.519978	h264	720	354	989964	aac	2	164409
MARVELS_THE_AVENGERS.m4v	1092304496	mov,mp4,m4a,3gp,3g2,mj2	8575.622911	h264	720	480	847284	aac	2	164198
MARVELS_THE_AVENGERS.m4v.mp4	1092304496	mov,mp4,m4a,3gp,3g2,mj2	8575.622911	h264	720	480	847284	aac	2	164198
Monster_House.m4v	767833284	mov,mp4,m4a,3gp,3g2,mj2	5444.380600	h264	720	480	957937	aac	2	164434
Monster_House.mp4	1105132626	mov,mp4,m4a,3gp,3g2,mj2	5445.882367	h264	720	480	1068104	aac	2	162280
MonstersInc.mp4	725244325	mov,mp4,m4a,3gp,3g2,mj2	5530.517333	h264	688	384	916106	aac	2	127887
MUSIC_AND_LYRICS.m4v	778862756	mov,mp4,m4a,3gp,3g2,mj2	6245.614356	h264	720	480	832501	aac	2	158663
MY_BIG_FAT_GREEK_WEDDING.m4v	630999881	mov,mp4,m4a,3gp,3g2,mj2	5695.848478	h264	720	480	715445	aac	2	164320
MY_SISTERS_KEEPER.m4v	591292466	mov,mp4,m4a,3gp,3g2,mj2	6554.068000	h264	720	360	557992	aac	2	157255
NarniaLionWitchWardrobe.m4v	879646581									
NarniaPrinceCaspian.m4v	1580972838	mov,mp4,m4a,3gp,3g2,mj2	8998.184378	h264	720	356	1239770	aac	2	159784
NATIONAL_TREASURE.m4v	1346742009	mov,mp4,m4a,3gp,3g2,mj2	7864.625333	h264	720	480	1199789	aac	2	164228
NATIONAL_TREASURE.m4v.mp4	1346742009	mov,mp4,m4a,3gp,3g2,mj2	7864.625333	h264	720	480	1199789	aac	2	164228
